                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
 6/30/18  2:15a   14.0   14.1   14.0    94   13.0   0.0   ---   0.00   0.0   ---   14.0   14.1   14.1  1020.6  0.00   0.0   0.015   0.000   26.2    87   23.8   29.1  18.80  .0721    117    1    100.0    5 
 6/30/18  2:20a   14.1   14.1   14.0    94   13.1   0.0   ---   0.00   0.0   ---   14.1   14.2   14.2  1020.7  0.00   0.0   0.015   0.000   26.2    87   23.8   29.1  18.80  .0721    117    1    100.0    5 
 6/30/18  2:25a   14.1   14.1   14.1    94   13.2   0.0   ---   0.00   0.0   ---   14.1   14.2   14.2  1020.7  0.00   0.0   0.015   0.000   26.2    87   23.8   29.1  18.80  .0721    117    1    100.0    5 
 6/30/18  2:30a   14.2   14.2   14.1    94   13.2   0.0   ---   0.00   0.0   ---   14.2   14.3   14.3  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0721    117    1    100.0    5 
 6/30/18  2:35a   14.2   14.2   14.2    94   13.3   0.0   ---   0.00   0.0   ---   14.2   14.3   14.3  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0720    117    1    100.0    5 
 6/30/18  2:40a   14.2   14.2   14.2    94   13.3   0.0   ---   0.00   0.0   ---   14.2   14.3   14.3  1020.5  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0720    117    1    100.0    5 
 6/30/18  2:45a   14.2   14.3   14.2    94   13.3   0.0   ---   0.00   0.0   ---   14.2   14.3   14.3  1020.5  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0720    117    1    100.0    5 
 6/30/18  2:50a   14.2   14.3   14.2    94   13.3   0.0   ---   0.00   0.0   ---   14.2   14.3   14.3  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0721    118    1    100.0    5 
 6/30/18  2:55a   14.3   14.3   14.2    94   13.3   0.9     W   0.07   2.6     W   14.3   14.4   14.4  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.8   29.1  18.80  .0721    117    1    100.0    5 
 6/30/18  3:00a   14.3   14.4   14.3    94   13.4   0.9     W   0.07   2.6     W   14.3   14.4   14.4  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:05a   14.4   14.4   14.3    94   13.4   0.0   ---   0.00   0.0   ---   14.4   14.6   14.6  1020.5  0.00   0.0   0.014   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:10a   14.4   14.4   14.4    94   13.5   0.9     W   0.07   2.6     W   14.4   14.6   14.6  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:15a   14.4   14.5   14.4    94   13.5   0.9     W   0.07   1.7     W   14.4   14.6   14.6  1020.6  0.00   0.0   0.014   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:20a   14.5   14.5   14.4    94   13.5   0.0   ---   0.00   0.0   ---   14.5   14.7   14.7  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:25a   14.5   14.5   14.5    94   13.5   0.0   ---   0.00   0.0   ---   14.5   14.7   14.7  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:30a   14.5   14.6   14.5    94   13.5   0.0     W   0.00   0.9     W   14.5   14.7   14.7  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:35a   14.6   14.6   14.6    94   13.7   1.7     W   0.14   2.6     W   14.6   14.8   14.8  1020.5  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:40a   14.6   14.6   14.6    94   13.7   0.0     W   0.00   1.7     W   14.6   14.8   14.8  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:45a   14.7   14.7   14.6    94   13.7   0.0   ---   0.00   0.0   ---   14.7   14.8   14.8  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:50a   14.7   14.7   14.7    94   13.7   0.0   ---   0.00   0.0   ---   14.7   14.8   14.8  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  3:55a   14.7   14.7   14.7    94   13.7   0.0   ---   0.00   0.0   ---   14.7   14.8   14.8  1020.7  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:00a   14.7   14.7   14.7    94   13.8   0.0   ---   0.00   0.0   ---   14.7   14.9   14.9  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    118    1    100.0    5 
 6/30/18  4:05a   14.7   14.7   14.7    93   13.6   0.9     W   0.07   2.6     W   14.7   14.9   14.9  1020.6  0.00   0.0   0.013   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:10a   14.8   14.8   14.7    93   13.7   1.7     W   0.14   2.6     W   14.8   14.9   14.9  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:15a   14.8   14.8   14.7    93   13.7   1.7     W   0.14   2.6     W   14.8   14.9   14.9  1020.4  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:20a   14.8   14.8   14.8    93   13.7   0.0     W   0.00   1.7     W   14.8   15.0   15.0  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:25a   14.8   14.8   14.8    93   13.7   0.0     W   0.00   0.9     W   14.8   15.0   15.0  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:30a   14.9   14.9   14.8    93   13.8   0.9     W   0.07   1.7     W   14.9   15.1   15.1  1020.4  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:35a   14.8   14.9   14.8    93   13.7   0.9     W   0.07   2.6     W   14.8   15.0   15.0  1020.4  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:40a   14.8   14.8   14.8    93   13.7   0.9     W   0.07   3.5     W   14.8   15.0   15.0  1020.4  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:45a   14.8   14.8   14.8    93   13.7   1.7     W   0.14   3.5     W   14.8   15.0   15.0  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:50a   14.9   14.9   14.8    92   13.6   1.7     W   0.14   2.6     W   14.9   15.1   15.1  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  4:55a   14.9   14.9   14.9    92   13.7   0.9     W   0.07   2.6     W   14.9   15.1   15.1  1020.5  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  5:00a   15.0   15.0   14.9    92   13.7   0.0     W   0.00   1.7     W   15.0   15.2   15.2  1020.6  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  5:05a   15.0   15.1   15.0    92   13.7   0.0     W   0.00   0.9     W   15.0   15.2   15.2  1020.6  0.00   0.0   0.012   0.000   26.2    87   23.9   29.2  18.80  .0720    117    1    100.0    5 
 6/30/18  5:10a   14.9   15.0   14.9    92   13.7   0.9     W   0.07   2.6     W   14.9   15.1   15.1  1020.6  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:15a   14.9   14.9   14.9    92   13.6   2.6     W   0.22   3.5     W   14.9   15.1   15.1  1020.5  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    118    1    100.0    5 
 6/30/18  5:20a   14.9   14.9   14.9    92   13.7   2.6     W   0.22   4.3     W   14.9   15.1   15.1  1020.4  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:25a   15.0   15.0   14.9    91   13.5   2.6     W   0.22   3.5     W   15.0   15.1   15.1  1020.3  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:30a   15.0   15.1   15.0    91   13.5   2.6   SSW   0.22   4.3   SSW   15.0   15.1   15.1  1020.3  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:35a   15.0   15.0   15.0    91   13.5   1.7     S   0.14   4.3     S   15.0   15.1   15.1  1020.4  0.00   0.0   0.012   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:40a   15.1   15.1   15.0    91   13.6   1.7     S   0.14   5.2   SSE   15.1   15.2   15.2  1020.4  0.00   0.0   0.011   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:45a   15.1   15.1   15.0    91   13.7   5.2    SE   0.43   8.7   ESE   14.8   15.3   14.9  1020.3  0.00   0.0   0.011   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:50a   15.2   15.2   15.1    91   13.8   3.5     E   0.29   7.8     E   15.2   15.4   15.4  1020.4  0.00   0.0   0.011   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  5:55a   15.3   15.3   15.2    90   13.6   3.5     E   0.29   7.8     E   15.3   15.4   15.4  1020.4  0.00   0.0   0.011   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  6:00a   15.3   15.3   15.3    90   13.7   4.3     E   0.36   8.7     E   15.3   15.5   15.4  1020.3  0.00   0.0   0.010   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  6:05a   15.4   15.4   15.3    90   13.8   4.3     E   0.36   7.8     E   15.3   15.6   15.5  1020.4  0.00   0.0   0.010   0.000   26.3    87   24.0   29.4  18.79  .0720    117    1    100.0    5 
 6/30/18  6:10a   15.5   15.5   15.4    90   13.9   7.0     E   0.58   8.7     E   14.7   15.7   14.8  1020.4  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:15a   15.6   15.6   15.5    91   14.1   6.1     E   0.51   7.8     E   15.1   15.7   15.3  1020.4  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:20a   15.6   15.6   15.6    90   13.9   3.5     E   0.29   7.0     E   15.6   15.7   15.7  1020.2  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    117    1    100.0    5 
 6/30/18  6:25a   15.5   15.6   15.5    90   13.9   4.3     E   0.36   7.8     E   15.5   15.7   15.7  1020.2  0.00   0.0   0.010   0.000   26.3    86   23.8   29.3  18.37  .0720    118    1    100.0    5 
